db_id,stage,role,occurrence_count,record_presence_count,record_presence_share,mean_occurrences_per_record
european_football_2,$limit,result_bound,108,108,0.981818,0.981818
european_football_2,$match,filter,105,100,0.909091,0.954545
european_football_2,$project,projection,186,110,1.0,1.690909
european_football_2,$replaceRoot,other,0,0,0.0,0.0
european_football_2,$set,other,0,0,0.0,0.0
european_football_2,$sort,ordering,109,109,0.990909,0.990909
european_football_2,$unset,other,0,0,0.0,0.0
european_football_2,$unwind,array_traversal,86,67,0.609091,0.781818
financial,$addFields,enrichment,110,100,0.909091,1.0
financial,$group,aggregation,59,59,0.536364,0.536364
financial,$limit,result_bound,106,106,0.963636,0.963636
financial,$match,filter,100,90,0.818182,0.909091
financial,$project,projection,203,110,1.0,1.845455
financial,$replaceRoot,other,2,2,0.018182,0.018182
financial,$set,other,1,1,0.009091,0.009091
financial,$sort,ordering,110,110,1.0,1.0
financial,$unset,other,1,1,0.009091,0.009091
financial,$unwind,array_traversal,93,84,0.763636,0.845455
formula_1,$addFields,enrichment,110,89,0.809091,1.0
formula_1,$group,aggregation,46,46,0.418182,0.418182
formula_1,$limit,result_bound,109,109,0.990909,0.990909
formula_1,$match,filter,85,72,0.654545,0.772727
formula_1,$project,projection,169,110,1.0,1.536364
formula_1,$replaceRoot,other,0,0,0.0,0.0
formula_1,$set,other,1,1,0.009091,0.009091
formula_1,$sort,ordering,111,110,1.0,1.009091
formula_1,$unset,other,0,0,0.0,0.0
formula_1,$unwind,array_traversal,76,64,0.581818,0.690909
student_club,$addFields,enrichment,106,92,0.836364,0.963636
student_club,$group,aggregation,45,45,0.409091,0.409091
student_club,$limit,result_bound,107,107,0.972727,0.972727
student_club,$match,filter,117,97,0.881818,1.063636
student_club,$project,projection,200,110,1.0,1.818182
student_club,$replaceRoot,other,0,0,0.0,0.0
student_club,$set,other,0,0,0.0,0.0
student_club,$sort,ordering,111,110,1.0,1.009091
student_club,$unset,other,0,0,0.0,0.0
student_club,$unwind,array_traversal,99,85,0.772727,0.9
superhero,$addFields,enrichment,89,78,0.709091,0.809091
superhero,$group,aggregation,57,57,0.518182,0.518182
superhero,$limit,result_bound,107,107,0.972727,0.972727
superhero,$match,filter,106,91,0.827273,0.963636
superhero,$project,projection,212,110,1.0,1.927273
superhero,$replaceRoot,other,0,0,0.0,0.0
superhero,$set,other,0,0,0.0,0.0
superhero,$sort,ordering,109,109,0.990909,0.990909
superhero,$unset,other,0,0,0.0,0.0
superhero,$unwind,array_traversal,155,95,0.863636,1.409091
thrombosis_prediction,$addFields,enrichment,125,85,0.772727,1.136364
thrombosis_prediction,$group,aggregation,46,45,0.409091,0.418182
thrombosis_prediction,$limit,result_bound,109,109,0.990909,0.990909
thrombosis_prediction,$match,filter,107,98,0.890909,0.972727
thrombosis_prediction,$project,projection,180,110,1.0,1.636364
thrombosis_prediction,$replaceRoot,other,0,0,0.0,0.0
thrombosis_prediction,$set,other,0,0,0.0,0.0
thrombosis_prediction,$sort,ordering,110,110,1.0,1.0
thrombosis_prediction,$unset,other,0,0,0.0,0.0
thrombosis_prediction,$unwind,array_traversal,91,66,0.6,0.827273
toxicology,$addFields,enrichment,112,94,0.854545,1.018182
toxicology,$group,aggregation,50,50,0.454545,0.454545
toxicology,$limit,result_bound,108,108,0.981818,0.981818
toxicology,$match,filter,111,98,0.890909,1.009091
toxicology,$project,projection,192,110,1.0,1.745455
toxicology,$replaceRoot,other,0,0,0.0,0.0
toxicology,$set,other,0,0,0.0,0.0
toxicology,$sort,ordering,110,110,1.0,1.0
toxicology,$unset,other,0,0,0.0,0.0
toxicology,$unwind,array_traversal,137,91,0.827273,1.245455
