stage_sequence,count,share,stage_count,unique_stage_count,structural_bucket,has_unwind,has_group,has_unwind_and_group
$unwind>$addFields>$project>$unwind>$match>$group>$match>$sort>$limit,5,0.004132,9,7,multi_unwind_grouped,True,True,True
$unwind>$project>$unwind>$group>$project>$sort>$limit,5,0.004132,7,5,multi_unwind_grouped,True,True,True
$addFields>$group>$sort>$limit,4,0.003306,4,4,group_without_unwind,False,True,False
$unwind>$project>$match>$sort,1,0.000826,4,4,unwind_filter_project,True,False,False
$addFields>$addFields>$match>$match>$group>$sort>$limit,1,0.000826,7,5,group_without_unwind,False,True,False
$project>$match>$limit,1,0.000826,3,3,linear_filter_project,False,False,False
$unwind>$project>$addFields>$addFields>$match>$group>$sort>$limit,1,0.000826,8,7,unwind_grouped,True,True,True
$addFields>$addFields>$match>$match>$project>$sort>$limit,1,0.000826,7,5,linear_filter_project,False,False,False
$project>$addFields>$match>$project>$limit,1,0.000826,5,4,enrich_filter_project,False,False,False
$project>$addFields>$match>$sort>$limit,1,0.000826,5,5,linear_filter_project,False,False,False
$project>$match>$sort>$limit,1,0.000826,4,4,linear_filter_project,False,False,False
